,Name,Question ID,Question Group,Variable Type
0,p_infected,q1,Subjective Risks,Categorical
1,p_acquaintance_infected,q1,Subjective Risks,Categorical
2,p_hospital_if_infect_self,q1,Subjective Risks,Categorical
4,p_infected_and_pass_on,q1,Subjective Risks,Categorical
14,p_die_preexist_75,q2,Vignettes: Risk of Death,Categorical
13,p_die_preexist_30,q2,Vignettes: Risk of Death,Categorical
12,p_die_healthy_75,q2,Vignettes: Risk of Death,Categorical
11,p_die_healthy_30,q2,Vignettes: Risk of Death,Categorical
10,p_die_healthy_5,q2,Vignettes: Risk of Death,Categorical
9,p_hospital_preexist_75,q2,Vignettes: Risk of Hospitalization,Categorical
8,p_hospital_preexist_30,q2,Vignettes: Risk of Hospitalization,Categorical
7,p_hospital_healthy_75,q2,Vignettes: Risk of Hospitalization,Categorical
6,p_hospital_healthy_30,q2,Vignettes: Risk of Hospitalization,Categorical
5,p_hospital_healthy_5,q2,Vignettes: Risk of Hospitalization,Categorical
21,no_health_behaviors,q3,Social Distancing,bool
19,quarantine_symptoms,q3,Social Distancing,bool
18,adjust_school_work,q3,Social Distancing,bool
16,avoid_public_places,q3,Social Distancing,bool
15,avoid_busy_places,q3,Social Distancing,bool
17,maintain_distance,q3,Social Distancing,bool
61,effect_avoid_public_transp,q4,Subjective Effectiveness of Social Distancing,Categorical
52,effect_mask,q4,Subjective Effectiveness of Health Behaviors,Categorical
53,effect_pray,q4,Subjective Effectiveness of Health Behaviors,Categorical
54,effect_wash_hands,q4,Subjective Effectiveness of Health Behaviors,Categorical
55,effect_doctor_ill,q4,Subjective Effectiveness of Health Behaviors,Categorical
56,effect_doctor_healthy,q4,Subjective Effectiveness of Health Behaviors,Categorical
57,effect_avoid_public,q4,Subjective Effectiveness of Social Distancing,Categorical
58,effect_avoid_high_risk,q4,Subjective Effectiveness of Social Distancing,Categorical
59,effect_avoid_hospital,q4,Subjective Effectiveness of Social Distancing,Categorical
60,effect_avoid_gastro,q4,Subjective Effectiveness of Social Distancing,Categorical
62,contact_older_people,q5,Contact with the Elderly,Categorical
22,effect_close_schools,q6,Subjective Effectiveness of Policies,Categorical
28,effect_curfew_non_crucial,q6,Subjective Effectiveness of Policies,Categorical
27,effect_curfew_high_risk,q6,Subjective Effectiveness of Policies,Categorical
26,effect_forbid_hospital_visits,q6,Subjective Effectiveness of Policies,Categorical
25,effect_close_most_stores,q6,Subjective Effectiveness of Policies,Categorical
24,effect_close_food_service,q6,Subjective Effectiveness of Policies,Categorical
69,duration_restrictions,q7,Expected Duration of Restrictions,Categorical
64,supp_close_cafes,q8,Support for Policies,Categorical
65,supp_close_most_shops,q8,Support for Policies,Categorical
66,supp_no_visitors,q8,Support for Policies,Categorical
63,supp_close_schools,q8,Support for Policies,Categorical
68,supp_curfew_non_crucial,q8,Support for Policies,Categorical
67,supp_curfew_high_risk,q8,Support for Policies,Categorical
70,comply_curfew_others,q9,Expected Compliance of Others,int
29,comply_curfew_self,q10,Compliance with Curfew,Categorical
71,comply_bc_civic,q11,Reasons for Complying with Curfew,bool
72,comply_bc_fear_punished,q11,Reasons for Complying with Curfew,bool
73,comply_bc_protect_self,q11,Reasons for Complying with Curfew,bool
74,comply_bc_protect_close,q11,Reasons for Complying with Curfew,bool
75,comply_bc_protect_all,q11,Reasons for Complying with Curfew,bool
76,comply_bc_high_risk,q11,Reasons for Complying with Curfew,bool
77,comply_bc_other,q11,Reasons for Complying with Curfew,bool
79,disobey_bc_freedom,q12,Reasons for Disobeying a Curfew,bool
80,disobey_bc_not_punish,q12,Reasons for Disobeying a Curfew,bool
81,disobey_bc_unjustified,q12,Reasons for Disobeying a Curfew,bool
83,disobey_bc_ineffective,q12,Reasons for Disobeying a Curfew,bool
84,disobey_bc_unaffected,q12,Reasons for Disobeying a Curfew,bool
82,disobey_bc_obligations,q12,Reasons for Disobeying a Curfew,bool
85,disobey_bc_bored,q12,Reasons for Disobeying a Curfew,bool
89,workplace_h_after,q14,Working Hours,int
91,home_h_after,q14,Working Hours,int
90,home_h_before,q14,Working Hours,int
88,workplace_h_before,q14,Working Hours,int
97,not_work_other,q15,Reasons for Not Working Among Employees,bool
96,not_work_fired,q15,Reasons for Not Working Among Employees,bool
95,not_work_employer,q15,Reasons for Not Working Among Employees,bool
94,not_work_fear_infection,q15,Reasons for Not Working Among Employees,bool
93,not_work_care,q15,Reasons for Not Working Among Employees,bool
92,not_work_lessbusiness,q15,Reasons for Not Working Among Employees,bool
103,less_work_other,q16,Reasons for Working Less Among Employees,bool
102,less_work_employer,q16,Reasons for Working Less Among Employees,bool
101,less_work_fear_infection,q16,Reasons for Working Less Among Employees,bool
100,less_work_care,q16,Reasons for Working Less Among Employees,bool
99,less_work_lessbusiness,q16,Reasons for Working Less Among Employees,bool
105,selfempl_less_business,q17,Reasons for Working Not Or Less Among the Self-Employed,bool
107,selfempl_less_closure,q17,Reasons for Working Not Or Less Among the Self-Employed,bool
108,selfempl_less_other,q17,Reasons for Working Not Or Less Among the Self-Employed,bool
106,selfempl_less_care,q17,Reasons for Working Not Or Less Among the Self-Employed,bool
110,contact_workers,q18,Contact with Workers or Students,Categorical
113,intend_save_more,q21,Consumption Plans,bool
114,intend_postpone_purchase,q21,Consumption Plans,bool
115,intend_postpone_house,q21,Consumption Plans,bool
116,intend_reduce_housing,q21,Consumption Plans,bool
117,intend_sell_shares,q21,Consumption Plans,bool
118,intend_buy_shares,q21,Consumption Plans,bool
119,intend_none,q21,Consumption Plans,bool
120,eur_1k_basic_needs,q_heli,Use of One-Time Allowance,int
121,eur_1k_expenses,q_heli,Use of One-Time Allowance,int
123,eur_1k_savings,q_heli,Use of One-Time Allowance,int
124,eur_1k_support_others,q_heli,Use of One-Time Allowance,int
122,eur_1k_durables,q_heli,Use of One-Time Allowance,int
46,cc_other,q23,Childcare Adjustments,bool
45,cc_home_alone,q23,Childcare Adjustments,bool
44,cc_ex_partner,q23,Childcare Adjustments,bool
43,cc_state,q23,Childcare Adjustments,bool
42,cc_share_neighbors,q23,Childcare Adjustments,bool
41,cc_other_relatives,q23,Childcare Adjustments,bool
40,cc_grand_parents,q23,Childcare Adjustments,bool
37,cc_self_home,q23,Childcare Adjustments,bool
38,cc_partner_home,q23,Childcare Adjustments,bool
39,cc_older_siblings,q23,Childcare Adjustments,bool
176,p_employed_other,q26,Employment Among Employees,int
175,p_employed_lost,q26,Employment Among Employees,int
173,p_employed_keep,q26,Employment Among Employees,int
174,p_employed_keep_gov,q26,Employment Among Employees,int
